name,type,start_time,duration,"mosi","miso"
"SPI","enable",0.012848083,0.000000042,,
"SPI","result",0.012856583,0.000024,0xFF,0xFF
"SPI","result",0.012896208,0.000024042,0xFF,0xFF
"SPI","result",0.012936333,0.000024042,0x77,0xFF
"SPI","result",0.012975542,0.000024042,0x00,0xFF
"SPI","result",0.013014833,0.000024042,0x00,0xFF
"SPI","result",0.013054042,0.000024042,0x00,0xFF
"SPI","result",0.013093292,0.000024042,0x00,0xFF
"SPI","result",0.013132542,0.000024042,0x01,0xFF
"SPI","result",0.013171917,0.000024042,0xFF,0xFF
"SPI","result",0.013211375,0.000024042,0xFF,0x01
"SPI","disable",0.0132435,0.000000042,,
"SPI","enable",0.013283792,0.000000042,,
"SPI","result",0.01329225,0.000024042,0xFF,0xFF
"SPI","result",0.013331917,0.000024042,0xFF,0xFF
"SPI","result",0.013372083,0.000024042,0x69,0xFF
"SPI","result",0.013411292,0.000024042,0x40,0xFF
"SPI","result",0.013450542,0.000024042,0x00,0xFF
"SPI","result",0.01348975,0.000024042,0x00,0xFF
"SPI","result",0.013529042,0.000024042,0x00,0xFF
"SPI","result",0.01356825,0.000024,0x01,0xFF
"SPI","result",0.013607542,0.000024083,0xFF,0xFF
"SPI","result",0.013647042,0.000024042,0xFF,0x01
"SPI","disable",0.013680125,0.000000042,,
"SPI","enable",0.013720417,0.000000042,,
"SPI","result",0.013728875,0.000024042,0xFF,0xFF
"SPI","result",0.013768542,0.000024042,0xFF,0xFF
"SPI","result",0.013808667,0.000024042,0x77,0xFF
"SPI","result",0.013847875,0.000024042,0x00,0xFF
"SPI","result",0.013887125,0.000024042,0x00,0xFF
"SPI","result",0.013926333,0.000024042,0x00,0xFF
"SPI","result",0.013965583,0.000024042,0x00,0xFF
"SPI","result",0.014004833,0.000024042,0x01,0xFF
"SPI","result",0.014044167,0.000024042,0xFF,0xFF
"SPI","result",0.014083667,0.000024042,0xFF,0x01
"SPI","disable",0.01411575,0.000000042,,
"SPI","enable",0.014156083,0.000000042,,
"SPI","result",0.014164542,0.000024042,0xFF,0xFF
"SPI","result",0.014204208,0.000024,0xFF,0xFF
"SPI","result",0.014244333,0.000024042,0x69,0xFF
"SPI","result",0.014283542,0.000024042,0x40,0xFF
"SPI","result",0.014322792,0.000024042,0x00,0xFF
"SPI","result",0.014362,0.000024042,0x00,0xFF
"SPI","result",0.01440125,0.000024042,0x00,0xFF
"SPI","result",0.0144405,0.000024042,0x01,0xFF
"SPI","result",0.014479833,0.000024042,0xFF,0xFF
"SPI","result",0.014519292,0.000024042,0xFF,0x01
"SPI","disable",0.014552208,0.000000042,,
"SPI","enable",0.014592458,0.000000042,,
"SPI","result",0.014600917,0.000024042,0xFF,0xFF
"SPI","result",0.014640583,0.000024,0xFF,0xFF
"SPI","result",0.014680708,0.000024,0x77,0xFF
"SPI","result",0.014719875,0.000024042,0x00,0xFF
"SPI","result",0.014759125,0.000024042,0x00,0xFF
"SPI","result",0.014798333,0.000024042,0x00,0xFF
"SPI","result",0.014837583,0.000024042,0x00,0xFF
"SPI","result",0.014876875,0.000024042,0x01,0xFF
"SPI","result",0.014916208,0.000024042,0xFF,0xFF
"SPI","result",0.014955667,0.000024042,0xFF,0x01
"SPI","disable",0.01498775,0.000000042,,
"SPI","enable",0.015028042,0.000000042,,
"SPI","result",0.0150365,0.000024042,0xFF,0xFF
"SPI","result",0.015076167,0.000024,0xFF,0xFF
"SPI","result",0.015116292,0.000024042,0x69,0xFF
"SPI","result",0.0151555,0.000024042,0x40,0xFF
"SPI","result",0.01519475,0.000024042,0x00,0xFF
"SPI","result",0.015233958,0.000024042,0x00,0xFF
"SPI","result",0.015273208,0.000024042,0x00,0xFF
"SPI","result",0.015312458,0.000024042,0x01,0xFF
"SPI","result",0.015351792,0.000024042,0xFF,0xFF
"SPI","result",0.01539125,0.000024042,0xFF,0x01
"SPI","disable",0.015424333,0.000000042,,
"SPI","enable",0.015464625,0.000000042,,
"SPI","result",0.015473083,0.000024042,0xFF,0xFF
"SPI","result",0.015512708,0.000024042,0xFF,0xFF
"SPI","result",0.015552667,0.000024042,0x77,0xFF
"SPI","result",0.015591875,0.000024042,0x00,0xFF
"SPI","result",0.015631125,0.000024042,0x00,0xFF
"SPI","result",0.015670333,0.000024042,0x00,0xFF
"SPI","result",0.015709583,0.000024042,0x00,0xFF
"SPI","result",0.015748833,0.000024042,0x01,0xFF
"SPI","result",0.015788167,0.000024042,0xFF,0xFF
"SPI","result",0.015827667,0.000024042,0xFF,0x01
"SPI","disable",0.01585975,0.000000042,,
"SPI","enable",0.015900042,0.000000042,,
"SPI","result",0.015908542,0.000024,0xFF,0xFF
"SPI","result",0.015948167,0.000024042,0xFF,0xFF
"SPI","result",0.015988292,0.000024042,0x69,0xFF
"SPI","result",0.016027542,0.000024,0x40,0xFF
"SPI","result",0.016066792,0.000024042,0x00,0xFF
"SPI","result",0.016106,0.000024042,0x00,0xFF
"SPI","result",0.01614525,0.000024042,0x00,0xFF
"SPI","result",0.0161845,0.000024042,0x01,0xFF
"SPI","result",0.016223833,0.000024042,0xFF,0xFF
"SPI","result",0.016263292,0.000024042,0xFF,0x01
"SPI","disable",0.016296375,0.000000042,,
"SPI","enable",0.016336667,0.000000042,,
"SPI","result",0.016345125,0.000024042,0xFF,0xFF
"SPI","result",0.016384792,0.000024,0xFF,0xFF
"SPI","result",0.016424917,0.000024042,0x77,0xFF
"SPI","result",0.016464125,0.000024042,0x00,0xFF
"SPI","result",0.016503375,0.000024042,0x00,0xFF
"SPI","result",0.016542375,0.000024042,0x00,0xFF
"SPI","result",0.016581667,0.000024042,0x00,0xFF
"SPI","result",0.016620917,0.000024042,0x01,0xFF
